STAR             GAIA_RV
04_24_17035+1015      -49.33195245
26_12_J0016+6617      -72.96465189
29_28_GJ15A      11.51106986
11_14_00395+6033      -36.01604744
11_24_01028+4703      -3.765779783
11_02_GL56.3B      17.78217888
11_20_01283+5211      2.686158745
11_03_GL81.1B      -8.291976158999999
11_04_J0157-0750      3.297098208
27_11_J0202+0115      -3.2593612569999997
11_33_J0241+5423      -8.796020592
13_26_02566+3522      24.70385004
26_25_2MJ0348+4032      -13.40821311
26_23_J0405+4558      23.1523564
27_17_J0530+1207      94.59659122
27_19_J0545+1107      22.7967658
03_02_06182+3200      -41.22454019
03_03_06223+3326      22.57857659
05_03_06522+1756      27.93758127
13_42_06532+2710      -20.09963489
13_44_07153+2035S      70.87428847
27_27_J0732-1304      -5.267631936
27_01_GJ3470      26.08973674
09_03_08158+3136      32.50419193
09_04_08178+3107      46.0223151
04_05_08599+0417      46.01944053
11_60_09115+1237      -76.13757568
07_07_10098-0046      5.904985364
27_03_GJ380      -26.4903904
25_01_GL382      7.213989061
12_55_wasp43      -3.696485641
25_02_GL393      7.429003651
05_07_10339+2922      -12.17761531
05_08_10351+3349      7.881342745
05_06_10362+2844      29.97161043
05_05_10389+2505      19.10330469
03_13_10456+1833      -2.709282355
04_12_10551+1532      23.19272563
07_15_10560+4858      -4.451664261
04_10_11052-0621S      58.93591522
04_11_11092-0436      10.66082438
26_49_J1112+4609      22.858413100000003
04_15_11160+0800      111.4452361
06_11_11276+0358      -2.666467185
07_20_11379+2951      -4.64545817
07_21_11480+3505      -1.7642937769999998
03_18_11530+1855      6.46678387
06_14_12052+0059      -7.16521814
08_12_12193+1323      -7.116469484
09_11_12211+5642      40.01707393
09_12_12213+5745      2.321651465
25_12_1221+2707      6.168666472999999
05_14_12237+2215      -22.62696885
25_11_1224+2653      0.0173625
08_16_12464+2626      -2.6589945580000003
08_13_13099+1438      5.419338947999999
08_14_13115+1306      -15.06982955
08_15_13160+1415      11.34469683
25_17_GL514      14.05016379
09_14_13319+5443      -20.64630322
27_16_13333+3620      -22.78142033
04_18_13583+0119      -12.65422782
06_18_14051+0312      -3.3078664769999997
07_32_16046+2620      -23.61975289
03_23_16498+4745      -36.36518901
27_27_16499+4601      -6.905781067
04_23_16539+1138      -29.65913086
04_24_17035+1015      -49.33195245
27_32_17076+4918      -26.43075213
27_31_17101+4139N      -9.980472374
05_17_17190+2253      -1.04612882
25_26_GL701      32.25619596
06_40_18070+0100      -24.77252492
06_41_18126+0131      -26.77961167
29_08_18144+0729      4.0479721589999995
29_11_18347+1807      59.57622562
25_30_18451+0620      -26.132725699999998
05_33_19104+1855      -9.282954212
11_03_KOI314      -36.32987899
25_31_19430+1012      -16.00870743
15_04_J1945+4043      -43.52904084
05_35_19509+1443      10.92793925
14_03_GL768.1B      -59.30326854
12_04_19515+0453      -13.694997500000001
12_06_19519+1408      -48.88028135
12_07_20068+1356      -9.795910661
28_01_wasp80      9.821237918
29_21_20288+2141      -5.030295978
03_32_20473+4220      -296.1138136
12_10_21074+1950W      -1.523294142
13_04_2107+2945a      0.99544239
13_05_2107+2945b      2.367777457
27_03_J2114+3801      -23.54243998
11_05_21281+6321      -1.589991191
11_09_22087+6403      -47.16009319
11_12_22479+6749      -28.592729700000003
25_37_GJ880      -27.99356271
15_12_J2322+3717      4.839777229
13_14_23479+2544      -7.359720013
27_28_GL297.2B      32.51904024
09_06_09095+3249S      10.24844502
11_29_02127+5805      -7.368441038999999
26_17_J0339+5632      44.80689671
29_16_19208+1903N      -42.08579221
06_36_16280+1533      20.16723992
